areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2020-03-25,303,1478
overview,United Kingdom,K02000001,2020-03-24,237,1175
overview,United Kingdom,K02000001,2020-03-23,186,938
overview,United Kingdom,K02000001,2020-03-22,164,752
overview,United Kingdom,K02000001,2020-03-21,130,588
overview,United Kingdom,K02000001,2020-03-20,109,458
overview,United Kingdom,K02000001,2020-03-19,74,349
overview,United Kingdom,K02000001,2020-03-18,68,275
overview,United Kingdom,K02000001,2020-03-17,52,207
overview,United Kingdom,K02000001,2020-03-16,47,155
overview,United Kingdom,K02000001,2020-03-15,32,108
overview,United Kingdom,K02000001,2020-03-14,22,76
overview,United Kingdom,K02000001,2020-03-13,16,54
overview,United Kingdom,K02000001,2020-03-12,13,38
overview,United Kingdom,K02000001,2020-03-11,8,25
overview,United Kingdom,K02000001,2020-03-10,3,17
overview,United Kingdom,K02000001,2020-03-09,5,14
overview,United Kingdom,K02000001,2020-03-08,3,9
overview,United Kingdom,K02000001,2020-03-07,0,6
overview,United Kingdom,K02000001,2020-03-06,0,6
overview,United Kingdom,K02000001,2020-03-05,3,6
overview,United Kingdom,K02000001,2020-03-04,0,3
overview,United Kingdom,K02000001,2020-03-03,2,3
overview,United Kingdom,K02000001,2020-03-02,1,1
